id,Date/Time,lon,lat,day,hour,minute,second,Full_loc,Address,Street
1,2008-02-02 15:46:08,116.51135,39.93883,2,15,46,8,"39.93883,116.51135","China, Bei Jing Shi, Chao Yang Qu, 姚家园路 邮政编码: 100026", 姚家园路 邮政编码
1,2008-02-02 15:46:08,116.51135,39.93883,2,15,46,8,"39.93883,116.51135","China, Bei Jing Shi, Chao Yang Qu, 姚家园路 邮政编码: 100026", 姚家园路 邮政编码
1,2008-02-02 15:56:08,116.51627,39.91034,2,15,56,8,"39.91034,116.51627","China, Bei Jing Shi, Chao Yang Qu, 建国东路康家沟 邮政编码: 100123", 建国东路康家沟 邮政编码
1,2008-02-02 16:06:08,116.47186,39.91248,2,16,6,8,"39.91248,116.47186","China, Bei Jing Shi, Chao Yang Qu, 光华路甲8号和乔丽致酒店1-3楼 邮政编码: 100026", 光华路甲8号和乔丽致酒店1-3楼 邮政编码
1,2008-02-02 16:16:08,116.47217,39.92498,2,16,16,8,"39.92498,116.47217","3 Chaoyang N Rd, Chao Yang Qu, Bei Jing Shi, China, 100026",3 Chaoyang N Rd
1,2008-02-02 16:26:08,116.47179,39.90718,2,16,26,8,"39.90718,116.47179","China, Bei Jing Shi, Chao Yang Qu, 郎家园15号 邮政编码: 100022", 郎家园15号 邮政编码
1,2008-02-02 16:36:08,116.45617,39.90531,2,16,36,8,"39.90531,116.45617","China, Bei Jing Shi, Chao Yang Qu, 北京市朝阳区建国路88号SOHO现代城4-507 邮政编码: 100020", 北京市朝阳区建国路88号SOHO现代城4-507 邮政编码
1,2008-02-02 17:00:24,116.47191,39.90577,2,17,0,24,"39.90577,116.47191","China, Bei Jing Shi, Chao Yang Qu, 建国路98号盛世嘉园5号楼 邮政编码: 100022", 建国路98号盛世嘉园5号楼 邮政编码
1,2008-02-02 17:10:24,116.50661,39.9145,2,17,10,24,"39.9145,116.50661","2-4-3 Shi Li Pu, Chao Yang Qu, Bei Jing Shi, China, 100123",2-4-3 Shi Li Pu
1,2008-02-02 20:30:34,116.49625,39.9146,2,20,30,34,"39.9146,116.49625","China, Bei Jing Shi, Chao Yang Qu, 八里庄东里1号莱锦创意产业园CN18号 邮政编码: 100123", 八里庄东里1号莱锦创意产业园CN18号 邮政编码
1,2008-02-02 20:40:33,116.50962,39.91071,2,20,40,33,"39.91071,116.50962","China, Bei Jing Shi, Chao Yang Qu, CN 北京市 朝阳区 八里庄陈家林 2 甲2号尚8里文创园A座111 邮政编码: 100123", CN 北京市 朝阳区 八里庄陈家林 2 甲2号尚8里文创园A座111 邮政编码
1,2008-02-02 20:50:33,116.52231,39.91588,2,20,50,33,"39.91588,116.52231","10 Xing Long Jia Yuan, Chao Yang Qu, Bei Jing Shi, China, 100123",10 Xing Long Jia Yuan
1,2008-02-02 20:50:33,116.52231,39.91588,2,20,50,33,"39.91588,116.52231","10 Xing Long Jia Yuan, Chao Yang Qu, Bei Jing Shi, China, 100123",10 Xing Long Jia Yuan
1,2008-02-03 11:10:29,116.54256,39.91501,3,11,10,29,"39.91501,116.54256","China, Bei Jing Shi, Chao Yang Qu, 朝阳路 邮政编码: 100024", 朝阳路 邮政编码
1,2008-02-03 11:20:28,116.51629,39.90905,3,11,20,28,"39.90905,116.51629","China, Bei Jing Shi, Chao Yang Qu, 四惠东地铁站B出口 邮政编码: 100123", 四惠东地铁站B出口 邮政编码
1,2008-02-03 11:30:29,116.49705,39.90693,3,11,30,29,"39.90693,116.49705","China, Bei Jing Shi, Chao Yang Qu, 四惠站 邮政编码: 100123", 四惠站 邮政编码
1,2008-02-03 11:40:29,116.43653,39.90566,3,11,40,29,"39.90566,116.43653","China, Bei Jing Shi, Chao Yang Qu, 建国门南大街 邮政编码: 100005", 建国门南大街 邮政编码
1,2008-02-03 12:00:29,116.45551,39.88319,3,12,0,29,"39.88319,116.45551","China, Bei Jing Shi, Chao Yang Qu, 劲松中街 邮政编码: 100021", 劲松中街 邮政编码
1,2008-02-04 10:45:09,116.53787,39.915,4,10,45,9,"39.915,116.53787","China, Bei Jing Shi, Chao Yang Qu, 大黄庄南里路东 邮政编码: 100024", 大黄庄南里路东 邮政编码
1,2008-02-04 10:55:09,116.50839,39.90916,4,10,55,9,"39.90916,116.50839","China, Bei Jing Shi, Chao Yang Qu, 建国路惠生园12幢八单元 邮政编码: 100123", 建国路惠生园12幢八单元 邮政编码
1,2008-02-04 11:05:09,116.5094,39.90679,4,11,5,9,"39.90679,116.5094","China, Bei Jing Shi, Chao Yang Qu, 建国路 邮政编码: 100123", 建国路 邮政编码
1,2008-02-04 17:28:21,116.47511,39.91397,4,17,28,21,"39.91397,116.47511","China, Bei Jing Shi, Chao Yang Qu, 呼家楼光华路 邮政编码: 100026", 呼家楼光华路 邮政编码
1,2008-02-04 17:28:21,116.47511,39.91397,4,17,28,21,"39.91397,116.47511","China, Bei Jing Shi, Chao Yang Qu, 呼家楼光华路 邮政编码: 100026", 呼家楼光华路 邮政编码
1,2008-02-04 17:38:21,116.51175,39.9155,4,17,38,21,"39.9155,116.51175","China, Bei Jing Shi, Chao Yang Qu, 甘露园3号 邮政编码: 100123", 甘露园3号 邮政编码
1,2008-02-05 10:28:33,116.49968,39.91468,5,10,28,33,"39.91468,116.49968","China, Bei Jing Shi, Chao Yang Qu, CN 北京市 朝阳区 八里庄东里 1 1号莱锦文化创意产业园A院 邮政编码: 100123", CN 北京市 朝阳区 八里庄东里 1 1号莱锦文化创意产业园A院 邮政编码
