id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,nom_commune,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,lot1_surface_carrez,lot2_surface_carrez,lot3_surface_carrez,lot4_surface_carrez,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,day_mutation,month_mutation
2021-266,2021-01-28,1,Vente,1668000.0,3.0,,BD VOLTAIRE,3760,1000.0,Bourg-en-Bresse,,,01053000AO0137,,,,,,,0,,,,,AB,terrains a bâtir,,,6613.0,,,28,1
2021-1256,2021-04-16,1,Vente,79000.0,,,PASSANT,B219,1570.0,Feillens,,,011590000C0567,,,,,,,0,,,,,T,terres,,,2948.0,,,16,4
2021-1260,2021-04-16,1,Vente,37000.0,,,PASSANT,B219,1570.0,Feillens,,,011590000C0566,,,,,,,0,,,,,T,terres,,,1247.0,,,16,4
2021-1689,2021-06-02,2,Vente,236.0,,,DOMAINE DE L HOPITAL,B055,1340.0,Bresse Vallons,,,01130154ZC0121,,,,,,,0,,,,,T,terres,,,704.0,,,2,6
2021-1811,2021-05-19,1,Vente,50000.0,,,AU LIARDET,B052,1270.0,Villemotier,,,01445000ZH0173,,,,,,,0,,,,,AB,terrains a bâtir,,,505.0,,,19,5
2021-1814,2021-06-04,2,Vente,220000.0,,,BRUX OUEST,B042,1570.0,Feillens,,,01159000AB0378,,,,,,,0,,,,,S,sols,,,921.0,,,4,6
2021-1825,2021-05-26,2,Vente,156500.0,140.0,,RUE DU CHATEAU,0005,1160.0,Varambon,,,014300000C1350,,,,,,,0,3.0,Dépendance,,0.0,S,sols,,,454.0,,,26,5
2021-1825,2021-05-26,2,Vente,156500.0,140.0,,RUE DU CHATEAU,0005,1160.0,Varambon,,,014300000C1350,,,,,,,0,3.0,Dépendance,,0.0,S,sols,,,454.0,,,26,5
2021-1825,2021-05-26,2,Vente,156500.0,140.0,,RUE DU CHATEAU,0005,1160.0,Varambon,,,014300000C1350,,,,,,,0,4.0,Local industriel. commercial ou assimilé,16.0,0.0,S,sols,,,454.0,,,26,5
2021-1825,2021-05-26,2,Vente,156500.0,140.0,,RUE DU CHATEAU,0005,1160.0,Varambon,,,014300000C1350,,,,,,,0,1.0,Maison,150.0,5.0,S,sols,,,454.0,,,26,5
